KHUNG CHƯƠNG TRÌNH ĐÀO TẠO K30 CNTT - ĐẠI HỌC VĂN LANG
Nguồn: file Excel Khung CTĐT K30 CNTT (2025-08-21)
Tổng số học phần trong dữ liệu: 87

QUY ƯỚC:
- Điều kiện tiên quyết: phải đạt môn trước khi đăng ký môn hiện tại.
- Điều kiện học trước: môn yêu cầu/nên hoàn thành trước theo khung CTĐT.
- BB: bắt buộc; TC/TCxxx: tự chọn hoặc nhóm tự chọn.

71LAWG10012 | Pháp luật đại cương | General Law | 2 TC | BB | Nhóm: Đại cương | Chuyên ngành: Chung | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: Không
71ENVH10012 | Môi trường và con người |  | 2 TC | BB | Nhóm: Đại cương | Chuyên ngành: Chung | Năm 3 | HK 1 | Tiên quyết: Không | Học trước: Không
71ITMA10104 | Toán cao cấp và ứng dụng | Advanced Calculus | 4 TC | BB | Nhóm: Đại cương | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: Không
71MATL10053 | Đại số tuyến tính và ứng dụng | Linear Algebra | 3 TC | BB | Nhóm: Đại cương | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71SSK110023 | Kỹ năng công dân toàn cầu |  | 3 TC | BB | Nhóm: Đại cương | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: Không | Học trước: Không
71POLP10013 | Triết học Mác-Lênin | Philosophy of Marxism and Leninism | 3 TC | BB | Nhóm: Lý luận chính trị | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: Không
71POLE10022 | Kinh tế chính trị Mác-Lênin | Marxist – Leninist Political Economy | 2 TC | BB | Nhóm: Lý luận chính trị | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: [71POLP10013]Triết học Mác-Lênin
71POLS10032 | Chủ nghĩa xã hội khoa học | Scientific Socialism | 2 TC | BB | Nhóm: Lý luận chính trị | Chuyên ngành: Chung | Năm 2 | HK 1 | Tiên quyết: Không | Học trước: [71POLP10013]Triết học Mác-Lênin
71POLH10042 | Tư tưởng Hồ Chí Minh | Ho Chi Minh's Thought | 2 TC | BB | Nhóm: Lý luận chính trị | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: Không | Học trước: [71POLE10022]Kinh tế chính trị Mác-Lênin, [71POLS10032]Chủ nghĩa xã hội khoa học
71POLC10052 | Lịch sử Đảng Cộng sản Việt Nam | History of Vietnamese Communist Party | 2 TC | BB | Nhóm: Lý luận chính trị | Chuyên ngành: Chung | Năm 2 | HK 3 | Tiên quyết: Không | Học trước: [71POLE10022]Kinh tế chính trị Mác-Lênin, [71POLS10032]Chủ nghĩa xã hội khoa học
71ENG110013 | Anh văn 1 (AV1) | English 1 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 1 | HK 1 | Tiên quyết: [71ENG010012]Anh văn dự bị (AV0) | Học trước: Không
71ENG210023 | Anh văn 2 (AV2) | English 2 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: [71ENG110013]Anh văn 1 (AV1) | Học trước: Không
71ENG310033 | Anh văn 3 (AV3) | English 3 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: [71ENG210023]Anh văn 2 (AV2) | Học trước: Không
71ENG410043 | Anh văn 4 (AV4) | English 4 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 2 | HK 1 | Tiên quyết: [71ENG310033]Anh văn 3 (AV3) | Học trước: Không
71ENG510053 | Anh văn 5 (AV5) | English 5 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 2 | HK 2 | Tiên quyết: [71ENG410043]Anh văn 4 (AV4) | Học trước: Không
71ENG610063 | Anh văn 6 (AV6) | English 6 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 2 | HK 3 | Tiên quyết: [71ENG510053]Anh văn 5 (AV5) | Học trước: Không
71ENG710073 | Anh văn 7 (AV7) | English 7 | 3 TC | BB | Nhóm: Ngoại ngữ | Chuyên ngành: Chung | Năm 3 | HK 1 | Tiên quyết: [71ENG610063]Anh văn 6 (AV6) | Học trước: Không
71PEKC10062 | Cờ vua |  | 2 TC | TC002 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: Không
71PESW10042 | Bơi lội |  | 2 TC | TC002 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: Không
71PEYO10142 | Hatha yoga |  | 2 TC | TC002 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 2 | Tiên quyết: Không | Học trước: Không
71PEKC10172 | Cờ vua nâng cao |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: [71PEKC10062]Cờ vua
71PEBA10052 | Cầu lông |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEBB10032 | Bóng rổ |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEDA10102 | Khiêu vũ |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEFI10072 | Fitness |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEFU10082 | Futsal |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEGO10092 | Golf |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEMA10132 | Võ thuật |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PEMT10152 | Marathon |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
71PESC10112 | Leo núi thể thao |  | 2 TC | TC102 (2TC) | Nhóm: Giáo dục thể chất và giáo dục quốc phòng | Chuyên ngành: Chung | Năm 1 | HK 3 | Tiên quyết: Không | Học trước: Không
